true_class,Benign,DoS,DDoS_Scan,BruteForce,WebBot,Tail
benign,0.1696734174423656,0.16254320715753942,0.1652170134116587,0.16987717089574528,0.1651761176500898,0.16751307344260385
dos-hulk,0.16373983751818738,0.16899382065467172,0.16555789014643554,0.16939629363263242,0.1649645340419388,0.16734762400613484
portscan,0.16274348473226288,0.16313127858805718,0.170361527909915,0.17046824902657604,0.16657803073198704,0.16671742901120543
ddos,0.164736191570665,0.16641231647918045,0.1649653227406027,0.16975614439166622,0.16613822779772963,0.16799179702015682
dos-goldeneye,0.1630328493558442,0.1663458629682815,0.16658845683148465,0.17069434698960512,0.16483950483483398,0.16849897901995048
ftp-patator,0.16610684996585612,0.16531932117604797,0.16803777045538643,0.16264347146130878,0.16712423631668885,0.1707683506247118
ssh-patator,0.16250667866289686,0.16187093596634938,0.16852424275932698,0.171475546584708,0.16625019591833468,0.16937240010838372
dos-slowloris,0.16337269900398466,0.1682763638986368,0.16626390435181157,0.1701284769222651,0.16419540640495447,0.16776314941834697
dos-slowhttptest,0.16226197470483822,0.16698046807412223,0.16713869921896038,0.17038231491941655,0.1651291140270241,0.16810742905563852
bot,0.15816029669105466,0.16643272600664658,0.16679017163339804,0.17140206298856783,0.16962132176453462,0.16759342091579815
web-attack-�-brute-force,0.16442771229567785,0.1585730835896948,0.17060024835934473,0.17136098390505689,0.1658577720880566,0.16918019976216897
web-attack-�-xss,0.1652663333111745,0.1577752627007956,0.17080548830385966,0.17171552601587003,0.16534273218683412,0.16909465748146615
infiltration,0.15993231256561916,0.16550102198039002,0.16672005621069524,0.1725877608474317,0.16727252554791608,0.16798632284794787
web-attack-�-sql-injection,0.16046614946134494,0.16052426994041982,0.17329192021724016,0.17329460593796142,0.16350707083149668,0.16891598361153704
heartbleed,0.15691773195417402,0.15258704000497653,0.17432166504485325,0.17433002308749046,0.1730990162284089,0.16874452368009688
