true_class,role,owner_expert,support,all_out_rate,owner_only_in_rate,single_non_owner_in_rate,multi_in_rate,mean_experts_in
backdoor,target known,stealth_malware,40678,0.0023599980333349722,0.9970500024583313,0.00034416637986135014,0.0002458331284723929,0.9978858350951374
ddos,target known,flood,100000,0.00061,0.98837,0.00391,0.00711,1.0065
dos,target known,flood,40692,0.021036075887152266,0.8851371276909467,0.07544480487565124,0.018381991546249875,0.9973459156590976
injection,target known,application,76356,0.02342972392477343,0.9403714180941903,0.031746031746031744,0.0044528262350044525,0.981023102310231
mitm,target known,stealth_malware,1204,0.9767441860465116,0.0,0.023255813953488372,0.0,0.023255813953488372
ransomware,target known,stealth_malware,795,0.9044025157232705,0.0,0.09182389937106918,0.0037735849056603774,0.09937106918238994
xss,target known,application,100000,0.00459,0.95659,0.0233,0.01552,1.01093
unseen::password,target unseen,,100000,0.19019,,0.80068,0.00913,0.81894
unseen::scanning,target unseen,,100000,0.96326,,0.03647,0.00027,0.03701
benign_diagnostic,benign diagnostic,,100000,0.71559,,0.16807,0.11634,0.40075
