expert,epoch,loss,ce_loss,energy_margin_loss,val_macro_f1,val_accuracy
flood,1,0.08360717740559578,0.008415665620461107,0.751915104133606,0.9994762083598108,0.9994817567344059
flood,2,0.04094418308663368,0.006793988884188235,0.3415019353904724,0.9994873516867128,0.9994927831868653
flood,3,0.035146580959916116,0.006403912433594465,0.2874266806488037,0.9994762083598108,0.9994817567344059
flood,4,0.03234142708730697,0.006051348408073187,0.26290078358459473,0.9995765118006388,0.999580994806541
flood,5,0.030602099903821945,0.0058296313305795195,0.2477246816253662,0.9995765098580918,0.999580994806541
flood,6,0.02939944685149193,0.005725123138040304,0.2367432333869934,0.9997325460224638,0.9997353651409732
flood,7,0.02845574044919014,0.005490655427619815,0.22965084598827362,0.9997213976425088,0.9997243386885137
flood,8,0.027781969953894616,0.0054257195920869705,0.22356249995231628,0.9996879632155828,0.9996912593311353
flood,9,0.02715570135128498,0.005294856723025441,0.2186084431848526,0.9995653723565574,0.9995699683540814
flood,10,0.02667171359360218,0.005271434961698949,0.21400278181552887,0.9995653663775622,0.9995699683540814
flood,11,0.02620816149044037,0.005122830093860626,0.21085331022453307,0.999554222948041,0.999558941901622
flood,12,0.025717732960820198,0.005029256934247911,0.20688475677108764,0.9996099459739799,0.9996140741639192
flood,13,0.025333036758422852,0.004994249437186867,0.20338787024784089,0.9996879646450141,0.9996912593311353
flood,14,0.024959879235982894,0.0048754769921824335,0.2008440186805725,0.9998328447047862,0.9998346032131082
flood,15,0.024682922930002214,0.004835308182835579,0.19847614362716676,0.9998439880344755,0.9998456296655677
application,1,0.9602097047653199,0.06757003070354461,8.926396589630126,0.9702502433978638,0.97027
application,2,0.30250968045043947,0.06907614081001281,2.3343353541870115,0.9773921785981079,0.9774
application,3,0.21719165672397614,0.0658504580192566,1.5134119626159668,0.9790240585876685,0.97903
application,4,0.18777188907432557,0.0627199665248394,1.250519202484131,0.9797847534946225,0.97979
application,5,0.1717154415550232,0.06085700027084351,1.1085844076538085,0.9799548684463222,0.97996
application,6,0.16165929157924652,0.05987431412625313,1.017849759414673,0.9804353720968314,0.98044
application,7,0.15495234705257416,0.05872246777176857,0.9622987742538452,0.9807356191565042,0.98074
application,8,0.15030310902786254,0.05805921988654136,0.9224388753128052,0.980745510374816,0.98075
application,9,0.14773395163726807,0.057654816593647004,0.9007913320159913,0.9805551703398766,0.98056
application,10,0.14479905255889894,0.057151697954416276,0.8764735324859619,0.9808654325309087,0.98087
application,11,0.14279632057571412,0.056597641567230225,0.8619867753448487,0.9808655032229604,0.98087
application,12,0.14147857422065735,0.05656141987657547,0.8491715352401733,0.9806052982413656,0.98061
application,13,0.1396781652288437,0.05615699987053871,0.835211643333435,0.9808453683621834,0.98085
application,14,0.13852898067474365,0.056064706079006196,0.8246427328224182,0.981426110982401,0.98143
