expert,active_owned_classes,configured_owned_classes,singleton_expert,owned_attack_in_rate (↑),non_owned_attack_false_in_rate (↓),target_non_owned_validation_false_in_rate (↓),unseen_false_in_rate (↓),external_aux_validation_false_in_rate (↓),benign_false_in_rate (diagnostic)
flood,"ddos,dos","ddos,dos",False,0.9688823813720752,0.030620956659498797,0.027798026242009645,0.05027,0.005611175098195564,0.20935
application,"injection,xss","injection,xss",False,0.9602962190115448,0.02726742251961891,0.040843412340754184,0.377705,0.0045920801526717556,0.1914
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",False,0.9503479626028072,0.0,0.0,0.0,0.0007381546134663341,0.0
benign,benign,benign,True,0.91049,0.04956008061713809,0.048988057232723266,0.66847,0.13020741524178858,
