true_class,owner_expert,intruding_expert,false_accept_count,true_class_test_support,owner_also_in_rate,owner_lower_energy_rate,resolvable_by_argmin_rate,mean_owner_energy,owner_threshold,mean_intruder_energy,intruder_threshold
xss,application,flood,3882,100000,0.3997939206594539,0.017001545595054096,0.017001545595054096,0.18743613362312317,0.23505590856075287,-1.4240366220474243,-1.1921730041503906
dos,flood,application,3818,40692,0.1959140911471975,0.8195390256678889,0.1959140911471975,-0.9839632511138916,-1.1921730041503906,-0.27054715156555176,0.23505590856075287
injection,application,flood,2764,76356,0.12301013024602026,0.003979739507959479,0.003979739507959479,2.1243038177490234,0.23505590856075287,-2.355323553085327,-1.1921730041503906
ddos,flood,application,1102,100000,0.6451905626134301,0.6887477313974592,0.6424682395644283,-1.780200719833374,-1.1921730041503906,-0.6712063550949097,0.23505590856075287
ransomware,stealth_malware,application,49,795,0.0,1.0,0.0,-4.694693565368652,-5.9004950523376465,-0.4869111478328705,0.23505590856075287
ransomware,stealth_malware,flood,30,795,0.0,1.0,0.0,-4.2838006019592285,-5.9004950523376465,-2.840344190597534,-1.1921730041503906
backdoor,stealth_malware,application,22,40678,0.0,1.0,0.0,-3.3279623985290527,-5.9004950523376465,-0.8627544045448303,0.23505590856075287
mitm,stealth_malware,flood,19,1204,0.0,0.9473684210526315,0.0,-4.017459392547607,-5.9004950523376465,-1.8493555784225464,-1.1921730041503906
backdoor,stealth_malware,flood,12,40678,0.0,1.0,0.0,-3.154688835144043,-5.9004950523376465,-1.470932126045227,-1.1921730041503906
mitm,stealth_malware,application,9,1204,0.0,1.0,0.0,-3.9855728149414062,-5.9004950523376465,-0.5100924968719482,0.23505590856075287
