class,owner_expert,is_tail,singleton_expert,support,xgb_precision,xgb_recall,xgb_f1,expert_precision,expert_recall,expert_f1,f1_delta,owner_expert_in_rate (↑),other_experts_out_rate (↑),in_rate__flood (owner↑/non-owner↓),in_rate__application (owner↑/non-owner↓),in_rate__stealth_malware (owner↑/non-owner↓),in_rate__benign (owner↑/non-owner↓)
benign,benign,False,True,100000,,,,0.8362555911716891,0.91049,0.8717953628211818,,0.91049,0.5812566666666666,0.61686,0.63934,3e-05,0.91049
ddos,flood,False,False,100000,0.9876584852874065,0.99554,0.991583581509776,0.9814115023728948,0.99469,0.9880061384732286,-0.0035774430365473897,0.99548,0.97716,0.99548,0.01102,0.0,0.0575
xss,application,False,False,100000,0.9091133997947515,0.99217,0.9488275571876673,0.9305095327282332,0.9688,0.9492687945520908,0.0004412373644234746,0.97211,0.96855,0.03882,0.97211,0.0,0.05553
injection,application,False,False,76356,0.9961702898046152,0.9368222536539368,0.9655852000836916,0.9924685715912812,0.9129603436534129,0.951055629455302,-0.014529570628389665,0.9448242443291949,0.9762428623814762,0.0361988579810362,0.9448242443291949,0.0,0.035072554874535075
dos,flood,False,False,40692,0.9435199050659735,0.8206527081490219,0.87780771505553,0.8823557646155323,0.9035191192371965,0.8928120446818844,0.01500432962635434,0.9035191192371965,0.9406926832465022,0.9035191192371965,0.09382679642190112,0.0,0.08409515383859235
backdoor,stealth_malware,True,False,40678,0.9999507922448578,0.9991150007374994,0.999532721772706,1.0,0.9970500024583313,0.9985228223940125,-0.0010098993786935573,0.9970500024583313,0.9988036121081011,0.00029499975416687153,0.0005408328826392645,0.9970500024583313,0.002753331038890801
mitm,stealth_malware,True,False,1204,0.8982905982905983,0.8729235880398671,0.8854254422914911,0.0,0.0,0.0,-0.8854254422914911,0.0,0.9313399778516057,0.015780730897009966,0.007475083056478406,0.0,0.18272425249169436
ransomware,stealth_malware,True,False,795,0.9845559845559846,0.9622641509433962,0.9732824427480916,0.0,0.0,0.0,-0.9732824427480916,0.0,0.9278825995807128,0.03773584905660377,0.061635220125786164,0.0,0.1169811320754717
macro_avg,,,,359725,0.9598942078634554,0.9399268145033888,0.9488635229498505,0.683820767329706,0.6824313521927058,0.6828093470795026,-0.26605417587034796,,,,,,
tail_macro_avg,,,,42677,0.9609324583638136,0.944767579906921,0.9527468689374295,0.3333333333333333,0.33235000081944377,0.33284094079800414,-0.6199059281394255,,,,,,
weighted_avg,,,,359725,0.9637215688330858,0.9622767391757593,0.9618121975930174,0.9550513712871551,0.954570852734728,0.9543248760490926,-0.007487321543924628,,,,,,
