role,branch,count,share_of_role,accuracy
known,all_out,3573,0.009932587393147544,0.0
known,argmin,19039,0.05292654110779067,0.48353379904406746
known,owner_only,337113,0.9371408714990618,0.9674856798758873
known,ALL,359725,1.0,0.9322621446938634
unseen,all_out,17680,0.0884,1.0
unseen,argmin,36069,0.180345,0.0
unseen,owner_only,146251,0.731255,0.0
unseen,ALL,200000,1.0,0.0884
benign,all_out,3826,0.03826,0.0
benign,argmin,67788,0.67788,0.9647430223638402
benign,owner_only,28386,0.28386,0.8214260550975833
benign,ALL,100000,1.0,0.88715
