draw,seed,cal_benign_recall,cal_macro_f1,cal_benign_misrouted,selected
0,42,0.99104,0.768339,448,False
1,43,0.98996,0.749993,502,False
2,44,0.99008,0.766789,496,False
3,45,0.99178,0.764418,411,True
4,46,0.99076,0.772096,462,False
