expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.9657,5,6919,0.6514,0.8353
2,202121,normgain,0.9068,859,17988,0.7124,0.9683
3,202121,normgain,0.9739,12,5268,0.7795,0.3931
4,202121,normgain,0.9712,8,5809,0.6969,0.4633
