expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15852,12761,15852,0,0,0,0,1,15843,8
2,1929685,12761,186000,149635,20641,1526,6129,5331,2738,0
3,405,12761,405,0,0,0,405,0,0,0
4,244,12761,244,0,0,0,0,0,0,244
