policy,true_class,predicted_class,rows
expert2_always,dos,benign,567
expert2_always,dos,bot,0
expert2_always,dos,brute_force,0
expert2_always,dos,ddos,0
expert2_always,dos,dos,38868
expert2_always,dos,infiltration,0
expert2_always,dos,web_attacks,48
expert2_always,infiltration,benign,7557
expert2_always,infiltration,bot,0
expert2_always,infiltration,brute_force,0
expert2_always,infiltration,ddos,0
expert2_always,infiltration,dos,0
expert2_always,infiltration,infiltration,1113
expert2_always,infiltration,web_attacks,72
expert2_always,web_attacks,benign,12
expert2_always,web_attacks,bot,0
expert2_always,web_attacks,brute_force,0
expert2_always,web_attacks,ddos,0
expert2_always,web_attacks,dos,0
expert2_always,web_attacks,infiltration,0
expert2_always,web_attacks,web_attacks,115
expert3_always,benign,benign,2190528
expert3_always,benign,bot,61
expert3_always,benign,brute_force,0
expert3_always,benign,ddos,15
expert3_always,benign,dos,24
expert3_always,benign,infiltration,459176
expert3_always,benign,web_attacks,2399
expert3_always,bot,benign,120
expert3_always,bot,bot,41418
expert3_always,bot,brute_force,0
expert3_always,bot,ddos,0
expert3_always,bot,dos,0
expert3_always,bot,infiltration,4
expert3_always,bot,web_attacks,0
expert3_always,brute_force,benign,0
expert3_always,brute_force,bot,0
expert3_always,brute_force,brute_force,37676
expert3_always,brute_force,ddos,0
expert3_always,brute_force,dos,0
expert3_always,brute_force,infiltration,0
expert3_always,brute_force,web_attacks,20
expert3_always,ddos,benign,0
expert3_always,ddos,bot,0
expert3_always,ddos,brute_force,0
expert3_always,ddos,ddos,262680
expert3_always,ddos,dos,0
expert3_always,ddos,infiltration,0
expert3_always,ddos,web_attacks,0
expert3_always,dos,benign,7
expert3_always,dos,bot,0
expert3_always,dos,brute_force,0
expert3_always,dos,ddos,0
expert3_always,dos,dos,38871
expert3_always,dos,infiltration,1
expert3_always,dos,web_attacks,604
expert3_always,infiltration,benign,2425
expert3_always,infiltration,bot,0
expert3_always,infiltration,brute_force,0
expert3_always,infiltration,ddos,0
expert3_always,infiltration,dos,0
expert3_always,infiltration,infiltration,6203
expert3_always,infiltration,web_attacks,114
expert3_always,web_attacks,benign,4
expert3_always,web_attacks,bot,0
expert3_always,web_attacks,brute_force,0
expert3_always,web_attacks,ddos,0
expert3_always,web_attacks,dos,2
expert3_always,web_attacks,infiltration,0
expert3_always,web_attacks,web_attacks,121
expert4_always,benign,benign,2184098
expert4_always,benign,bot,46
expert4_always,benign,brute_force,0
expert4_always,benign,ddos,23
expert4_always,benign,dos,66
expert4_always,benign,infiltration,465472
expert4_always,benign,web_attacks,2498
expert4_always,bot,benign,164
expert4_always,bot,bot,41370
expert4_always,bot,brute_force,0
expert4_always,bot,ddos,2
expert4_always,bot,dos,0
expert4_always,bot,infiltration,6
expert4_always,bot,web_attacks,0
expert4_always,brute_force,benign,0
expert4_always,brute_force,bot,0
expert4_always,brute_force,brute_force,37676
expert4_always,brute_force,ddos,0
expert4_always,brute_force,dos,0
expert4_always,brute_force,infiltration,0
expert4_always,brute_force,web_attacks,20
expert4_always,ddos,benign,0
expert4_always,ddos,bot,0
expert4_always,ddos,brute_force,0
expert4_always,ddos,ddos,262680
expert4_always,ddos,dos,0
expert4_always,ddos,infiltration,0
expert4_always,ddos,web_attacks,0
expert4_always,dos,benign,4
expert4_always,dos,bot,0
expert4_always,dos,brute_force,0
expert4_always,dos,ddos,0
expert4_always,dos,dos,38871
expert4_always,dos,infiltration,2
expert4_always,dos,web_attacks,606
expert4_always,infiltration,benign,2333
expert4_always,infiltration,bot,0
expert4_always,infiltration,brute_force,0
expert4_always,infiltration,ddos,0
expert4_always,infiltration,dos,0
expert4_always,infiltration,infiltration,6271
expert4_always,infiltration,web_attacks,138
expert4_always,web_attacks,benign,3
expert4_always,web_attacks,bot,0
expert4_always,web_attacks,brute_force,0
expert4_always,web_attacks,ddos,0
expert4_always,web_attacks,dos,2
expert4_always,web_attacks,infiltration,0
expert4_always,web_attacks,web_attacks,122
expert5_always,benign,benign,2151952
expert5_always,benign,bot,97
expert5_always,benign,brute_force,0
expert5_always,benign,ddos,19
expert5_always,benign,dos,321
expert5_always,benign,infiltration,495496
expert5_always,benign,web_attacks,4318
expert5_always,bot,benign,125
expert5_always,bot,bot,41417
expert5_always,bot,brute_force,0
expert5_always,bot,ddos,0
expert5_always,bot,dos,0
expert5_always,bot,infiltration,0
expert5_always,bot,web_attacks,0
expert5_always,brute_force,benign,0
expert5_always,brute_force,bot,0
expert5_always,brute_force,brute_force,37676
expert5_always,brute_force,ddos,0
expert5_always,brute_force,dos,0
expert5_always,brute_force,infiltration,0
expert5_always,brute_force,web_attacks,20
expert5_always,ddos,benign,112
expert5_always,ddos,bot,0
expert5_always,ddos,brute_force,0
expert5_always,ddos,ddos,261805
expert5_always,ddos,dos,0
expert5_always,ddos,infiltration,0
expert5_always,ddos,web_attacks,763
expert5_always,dos,benign,348
expert5_always,dos,bot,0
expert5_always,dos,brute_force,0
expert5_always,dos,ddos,0
expert5_always,dos,dos,38921
expert5_always,dos,infiltration,0
expert5_always,dos,web_attacks,214
expert5_always,infiltration,benign,1702
expert5_always,infiltration,bot,0
expert5_always,infiltration,brute_force,0
expert5_always,infiltration,ddos,0
expert5_always,infiltration,dos,0
expert5_always,infiltration,infiltration,6918
expert5_always,infiltration,web_attacks,122
expert5_always,web_attacks,benign,3
expert5_always,web_attacks,bot,0
expert5_always,web_attacks,brute_force,0
expert5_always,web_attacks,ddos,0
expert5_always,web_attacks,dos,5
expert5_always,web_attacks,infiltration,0
expert5_always,web_attacks,web_attacks,119
expert6_always,benign,benign,1843444
