class,bank_correctable,candidate_H_before_call_gate,candidate_D_before_call_gate,called_H,called_D,accepted_H,accepted_D,scorer_recovery,verifier_help_retention,verifier_harm_pass
ALL,10085,4707,451106,0,0,0,0,0.0,,
benign,4151,352,451072,0,0,0,0,0.0,,
bot,27,3,28,0,0,0,0,0.0,,
brute_force,0,0,0,0,0,0,0,,,
ddos,462,446,0,0,0,0,0,0.0,,
dos,55,3,1,0,0,0,0,0.0,,
infiltration,5375,3891,4,0,0,0,0,0.0,,
web_attacks,15,12,1,0,0,0,0,0.0,,
