expert,class,block_share,global_recall,own_recall,best_other_recall,H,D,outside_FP,outside_FPR,correctable_global_error_fraction,global_correct_damage_fraction,unique_global_corrections
1,bot,0.999860529986053,0.9964614125463387,0.9967262048047759,0.9970150690867075,13,2,411,0.00013695749752326862,0.08843537414965986,4.831501389056649e-05,34
2,benign,0.9960107526881721,0.9983681490443982,0.999808084071996,0.8259277287598272,3898,79,12576,0.032223845030363595,0.9006469500924215,2.9835245243827597e-05,3139
3,brute_force,1.0,0.9994694397283531,0.9994694397283531,0.9994694397283531,0,0,0,0.0,0.0,0.0,0
4,dos,1.0,0.9844236760124611,0.984499658080693,0.9857660258845579,3,0,68,2.2644098048944552e-05,0.004878048780487805,0.0,4
5,brute_force,0.9999534190422955,0.9994694397283531,0.9994694397283531,0.9994694397283531,0,0,0,0.0,0.0,0.0,30
6,infiltration,0.9940399484536082,0.3126286890871654,0.8643331045527339,0.7913520933424846,4827,4,806387,0.26580702112349447,0.8032950574138792,0.0014635931211123307,425
7,ddos,0.8779462365591398,0.9982412060301508,0.9996459570580174,1.0,370,1,5,1.798695082691409e-06,0.8008658008658008,3.8136207277913796e-06,7
8,benign,0.9781102798559158,0.9983681490443982,0.8128544459077982,0.999808084071996,466,492486,3118,0.007989340712839828,0.10767097966728281,0.18599291885002125,244
