method,bucket,rows,accuracy,macro_f1,tail_f1
realistic_oracle,all,2951088,1.0,1.0,1.0
realistic_oracle,seen_same_label,997339,1.0,1.0,1.0
realistic_oracle,seen_diff_label,0,,,
realistic_oracle,unseen,1953749,1.0,1.0,1.0
xgboost_full,all,2951088,0.9796203976296199,0.7968110942635646,0.5620169103624462
xgboost_full,seen_same_label,997339,0.9999869653147024,0.979992097476809,0.9533173734610122
xgboost_full,seen_diff_label,0,,,
xgboost_full,unseen,1953749,0.9692237846314956,0.7722407632072725,0.5218053330648564
xgboost_c0,all,2951088,0.9885303318640447,0.7921432226721186,0.5176509453746414
xgboost_c0,seen_same_label,997339,0.9988679877153105,0.8207863149587238,0.582049813414979
xgboost_c0,seen_diff_label,0,,,
xgboost_c0,unseen,1953749,0.9832532223944837,0.7824198285266275,0.4960976774659738
tabpfn_plain,all,2951088,0.9965883768969275,0.7590202018850997,0.44163990711387213
tabpfn_plain,seen_same_label,997339,0.999811498397235,0.8128216864191284,0.5633391710449503
tabpfn_plain,seen_diff_label,0,,,
tabpfn_plain,unseen,1953749,0.9949430556330419,0.7506003686088374,0.4230267154149139
ours_c0,all,2951088,0.9925830744457638,0.7923337382023031,0.5257373841904327
ours_c0,seen_same_label,997339,0.9997623676603442,0.8555146003382789,0.6629649372186686
ours_c0,seen_diff_label,0,,,
ours_c0,unseen,1953749,0.9889182284930153,0.78310600348939,0.5080052510407965
distpfn,all,2951088,0.9952830955905076,0.7931052039036296,0.5220795813476146
distpfn,seen_same_label,997339,0.9997643729965437,0.8555373570866898,0.6629649372186686
distpfn,seen_diff_label,0,,,
distpfn,unseen,1953749,0.9929955178479938,0.7824909639816724,0.4987430007479879
