target,unseen,owner_expert,owner_expert_fully_removed,known_f1__target_external,known_f1__target_only,unseen_acc__target_external,unseen_acc__target_only,delta_known_f1__target_only_vs_external,delta_unseen_acc__target_only_vs_external
bot_iot,ddos,flood,False,0.637124867679492,0.6407597838089295,0.0177,0.0186,0.00363491612943756,0.000899999999999998
bot_iot,dos,flood,False,0.605438554799766,0.6098647865399539,0.0208,0.3106,0.004426231740187858,0.2898
bot_iot,reconnaissance,recon,True,0.3680348790943033,0.3058872467501414,0.1375,0.6393,-0.06214763234416193,0.5018
cse_cic_ids2018,bot,tail,False,0.825770736346041,0.7052355112382103,0.0007,0.0,-0.12053522510783077,-0.0007
cse_cic_ids2018,ddos,flood,False,0.8266492222735069,0.7039989349330534,0.2658,0.1093,-0.12265028734045347,-0.15649999999999997
cse_cic_ids2018,ddos+dos,flood,True,0.8962975174770362,0.7458380449226815,0.3544,0.0585,-0.15045947255435477,-0.2959
cse_cic_ids2018,dos,flood,False,0.917971825528584,0.7800066206686147,0.4493,0.2333,-0.13796520485996933,-0.21599999999999997
ton_iot,injection,application,False,0.6771182417355848,0.6760540668112469,0.2306,0.1075,-0.0010641749243378573,-0.1231
ton_iot,injection+xss,application,True,0.6406421801572775,0.6444211290098342,0.3742,0.2598,0.003778948852556696,-0.1144
ton_iot,password,probe_access,False,0.6714853177540852,0.6715023252672865,0.2075,0.1117,1.7007513201328095e-05,-0.0958
ton_iot,password+scanning,probe_access,True,0.6828093470795026,0.6824399211184853,0.0884,0.0055,-0.0003694259610173001,-0.0829
ton_iot,scanning,probe_access,False,0.7180000871252881,0.7188302396894081,0.005,0.0052,0.0008301525641200014,0.00019999999999999966
ton_iot,xss,application,False,0.6745363345327618,0.6840708148235839,0.2572,0.3015,0.009534480290822045,0.044300000000000006
