class,winner,rows
benign,benign,3354038
ddos,flood,262052
benign,tail,148254
brute_force,bf_bot,115020
bot,bf_bot,41416
dos,flood,38855
infiltration,benign,26391
dos,bf_bot,21110
infiltration,tail,11185
ddos,benign,2574
dos,benign,558
benign,flood,467
web_attacks,tail,437
ddos,tail,246
benign,bf_bot,167
bot,tail,122
dos,tail,71
web_attacks,benign,53
infiltration,flood,32
infiltration,bf_bot,23
brute_force,tail,20
web_attacks,flood,19
bot,benign,4
