expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,20804,12761,20804,0,0,0,0,20804,0,0
2,15377,12761,15377,0,0,0,0,0,15377,0
3,9788,12761,9788,811,0,0,0,8752,102,123
4,40161,12761,40161,16,0,39579,0,566,0,0
5,129,12761,129,0,0,0,0,0,0,129
