cluster,rows,weighted_mass,mean_residual,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
0,20804,0.16483158154269503,15.591641963239473,0,0,0,0,20804,0,0
1,15377,0.2423112237208103,32.48570365989525,0,0,0,0,0,15377,0
2,9788,0.1248872065967717,26.70949563878107,811,0,0,0,8752,102,123
3,40161,0.03694888303999357,1.8104855750718858,16,0,39579,0,566,0,0
4,129,0.002956736927603567,2301.010530524269,0,0,0,0,0,0,129
