run,item,value,note
20260827_144730_nfv3_cic2018_exp24a_regprune,expert1_solo_recovery,0.843001,share of full-bank oracle utility recovered alone
20260827_144730_nfv3_cic2018_exp24a_regprune,expert2_solo_recovery,0.575859,share of full-bank oracle utility recovered alone
20260827_144730_nfv3_cic2018_exp24a_regprune,expert3_solo_recovery,0.835536,share of full-bank oracle utility recovered alone
20260827_144730_nfv3_cic2018_exp24a_regprune,expert4_solo_recovery,0.847801,share of full-bank oracle utility recovered alone
20260827_144730_nfv3_cic2018_exp24a_regprune,expert5_solo_recovery,0.400546,share of full-bank oracle utility recovered alone
20260827_144730_nfv3_cic2018_exp24a_regprune,expert1_shared_variance_share,0.925039,fraction of gain variance that is the shared global term
20260827_144730_nfv3_cic2018_exp24a_regprune,expert2_shared_variance_share,0.978531,fraction of gain variance that is the shared global term
20260827_144730_nfv3_cic2018_exp24a_regprune,expert3_shared_variance_share,0.935098,fraction of gain variance that is the shared global term
20260827_144730_nfv3_cic2018_exp24a_regprune,expert4_shared_variance_share,0.958181,fraction of gain variance that is the shared global term
20260827_144730_nfv3_cic2018_exp24a_regprune,expert5_shared_variance_share,0.962499,fraction of gain variance that is the shared global term
20260827_144730_nfv3_cic2018_exp24a_regprune,utility_share_benign,5e-05,n=100000
20260827_144730_nfv3_cic2018_exp24a_regprune,posJaccard_e1e2_benign,0.132018,"positive-gain set overlap, within class"
20260827_144730_nfv3_cic2018_exp24a_regprune,utility_share_bot,0.003914,n=31156
20260827_144730_nfv3_cic2018_exp24a_regprune,posJaccard_e1e2_bot,0.999583,"positive-gain set overlap, within class"
20260827_144730_nfv3_cic2018_exp24a_regprune,utility_share_brute_force,0.085717,n=86279
20260827_144730_nfv3_cic2018_exp24a_regprune,posJaccard_e1e2_brute_force,0.473638,"positive-gain set overlap, within class"
20260827_144730_nfv3_cic2018_exp24a_regprune,utility_share_ddos,0.00012,n=100000
20260827_144730_nfv3_cic2018_exp24a_regprune,posJaccard_e1e2_ddos,0.938569,"positive-gain set overlap, within class"
20260827_144730_nfv3_cic2018_exp24a_regprune,utility_share_dos,0.543721,n=45446
20260827_144730_nfv3_cic2018_exp24a_regprune,posJaccard_e1e2_dos,0.506965,"positive-gain set overlap, within class"
20260827_144730_nfv3_cic2018_exp24a_regprune,utility_share_infiltration,0.21296,n=28224
20260827_144730_nfv3_cic2018_exp24a_regprune,posJaccard_e1e2_infiltration,0.960377,"positive-gain set overlap, within class"
20260827_144730_nfv3_cic2018_exp24a_regprune,utility_share_web_attacks,0.153518,n=381
20260827_144730_nfv3_cic2018_exp24a_regprune,posJaccard_e1e2_web_attacks,0.989501,"positive-gain set overlap, within class"
