regime,rows,weighted_mass,mean_residual,kept,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
1,17610,0.4036,45.1,False,0,0,17610,0,0,0,0
2,20804,0.1648,15.59,True,0,0,0,0,20804,0,0
3,15377,0.2423,32.49,True,0,0,0,0,0,15377,0
4,9788,0.1249,26.71,True,811,0,0,0,8752,102,123
5,1896122,0.0243,0.03,False,1740578,20642,0,131674,0,3228,0
6,9,0.0002,79.48,False,0,9,0,0,0,0,0
7,40161,0.0369,1.81,True,16,0,39579,0,566,0,0
8,129,0.003,2301.01,True,0,0,0,0,0,0,129
