K,beta,tune_expert_balanced_nll
2,0.0,2.802625
2,0.5,4.13559
2,1.0,7.908867
4,0.0,2.751099
4,0.5,4.678086
4,1.0,8.524197
8,0.0,1.866759
8,0.5,3.108478
8,1.0,6.438946
