class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,112752,100208,-12544,3420176,3420164
bot,4,4,0,41415,41390
brute_force,21110,21110,0,77344,77344
ddos,244,243,-1,232181,233443
dos,2,12,10,21693,32982
infiltration,80421,80420,-1,13460,13458
web_attacks,2084,2105,21,228,231
