a,b,gain_pearson_r
e1,e2,0.9702
e1,e3,0.917
e1,e4,0.996
e1,e5,0.9791
e2,e3,0.8925
e2,e4,0.9676
e2,e5,0.9912
e3,e4,0.9207
e3,e5,0.9047
e4,e5,0.9785
