expert,accepted,helpful,harmful,precision,net
1,2112,2077,27,0.9872,2050
2,18,3,2,0.6,1
3,8350,8313,13,0.9984,8300
4,2242,2173,3,0.9986,2170
5,77,1,7,0.125,-6
