class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
benign,3502926,3420164,0,12,82750,3
bot,41542,41390,0,25,127,0
brute_force,115040,77344,0,0,37696,0
ddos,264872,232168,1275,13,31416,9
dos,60594,21693,11289,0,27612,0
infiltration,37631,13458,0,2,24171,8
web_attacks,509,228,3,0,278,0
