expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.6221,0.0031,7.954
2,0.6683,0.0753,5.0582
3,0.5122,0.0013,9.5751
4,0.6399,0.0036,7.7771
5,0.4174,0.0005,5.6336
