a,b,agreement
global,e1,0.5632
global,e2,0.4699
global,e3,0.5524
global,e4,0.5396
global,e5,0.5316
e1,e2,0.8107
e1,e3,0.9529
e1,e4,0.9508
e1,e5,0.8469
e2,e3,0.8173
e2,e4,0.8322
e2,e5,0.8956
e3,e4,0.9673
e3,e5,0.8608
e4,e5,0.8733
