expert,tune_rows,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202122,0.6258,50488,25151,0.5573,-0.0406
2,202122,0.8244,25381,10104,0.5068,-0.0045
3,202122,0.6308,48531,26101,0.5649,0.2162
4,202122,0.6363,4561,68959,0.7563,0.1051
5,202122,0.6912,53171,9252,0.5129,0.0276
