run,scope,rows,proposed,proposal_rate,accepted,accept_rate_of_proposed,rejected_calls,wasted_call_rate,calls_per_sample_nominal
20260827_144730_nfv3_cic2018_exp24a_regprune,ALL,4023114,192552,0.047861,12799,0.06647,179753,0.93353,1.047861
20260827_144730_nfv3_cic2018_exp24a_regprune,benign,3502926,22781,0.006503,16,0.000702,22765,0.999298,1.006503
20260827_144730_nfv3_cic2018_exp24a_regprune,bot,41542,1527,0.036758,40,0.026195,1487,0.973805,1.036758
20260827_144730_nfv3_cic2018_exp24a_regprune,brute_force,115040,77374,0.672583,0,0.0,77374,1.0,1.672583
20260827_144730_nfv3_cic2018_exp24a_regprune,ddos,264872,51103,0.192935,1441,0.028198,49662,0.971802,1.192935
20260827_144730_nfv3_cic2018_exp24a_regprune,dos,60594,38980,0.643298,11289,0.28961,27691,0.71039,1.643298
20260827_144730_nfv3_cic2018_exp24a_regprune,infiltration,37631,544,0.014456,10,0.018382,534,0.981618,1.014456
20260827_144730_nfv3_cic2018_exp24a_regprune,web_attacks,509,243,0.477407,3,0.012346,240,0.987654,1.477407
20260827_144730_nfv3_cic2018_exp24a_regprune,expert1,115161,115161,,2112,0.01834,113049,0.98166,
20260827_144730_nfv3_cic2018_exp24a_regprune,expert2,37760,37760,,18,0.000477,37742,0.999523,
20260827_144730_nfv3_cic2018_exp24a_regprune,expert3,16829,16829,,8350,0.496167,8479,0.503833,
20260827_144730_nfv3_cic2018_exp24a_regprune,expert4,8406,8406,,2242,0.266714,6164,0.733286,
20260827_144730_nfv3_cic2018_exp24a_regprune,expert5,14396,14396,,77,0.005349,14319,0.994651,
20260827_144730_nfv3_cic2018_exp24a_regprune,MEASURED_COMPUTE,,,,,,,,2.031
