class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,106631,106631,0,3496573,3496573
bot,4,4,0,41415,41415
brute_force,21110,21110,0,115020,115020
ddos,8,8,0,188878,188878
dos,0,0,0,36761,36761
infiltration,4317,4317,0,10082,10082
web_attacks,2079,2079,0,236,236
