K,beta,tune_expert_balanced_nll
2,0.0,1.458985
2,0.5,2.84814
2,1.0,5.970697
4,0.0,1.132052
4,0.5,2.594989
4,1.0,5.970543
8,0.0,0.995217
8,0.5,2.744337
8,1.0,6.547231
