method,rows,balanced_accuracy,macro_auprc,ece_15bin,benign_fpr
racepfn_system,4023114,0.7209,0.7098,0.0159,0.001814
global_tabpfn,4023114,0.7209,0.7098,0.0159,0.001814
xgboost,4023114,0.7749,0.7426,0.0055,0.002662
