class_id,class_name,baseline_precision,baseline_recall,baseline_f1,moe_precision,moe_recall,moe_f1,delta_f1
0,bot,0.9999474753133973,0.9998249391663603,0.9998862034856748,0.9902380663395349,0.9997724209162684,0.9949824035680686,-0.004903799917606255
1,brute-force--web,0.8888888888888888,0.5289256198347108,0.6632124352331606,0.875,0.4049586776859504,0.5536723163841808,-0.10954011884897985
2,brute-force--xss,1.0,0.813953488372093,0.8974358974358975,0.9545454545454546,0.4883720930232558,0.6461538461538462,-0.2512820512820513
3,ddos-attack-hoic,1.0,1.0,1.0,0.9989035328172627,0.9963471717922919,0.9976237146705504,-0.0023762853294495567
4,ddos-attack-loic-udp,0.8365384615384616,0.7767857142857143,0.8055555555555556,0.6659877800407332,0.9732142857142857,0.7908101571946796,-0.014745398360875961
5,ddos-attacks-loic-http,0.9988379655725621,0.9995313923721092,0.9991845586640642,0.739670937063657,0.9975528268321256,0.8494712650473312,-0.14971329361673302
6,dos-attacks-goldeneye,0.9992771955186122,0.9998794599807136,0.9995782370307887,0.9894560268392044,0.9954194792671167,0.9924287946160317,-0.007149442414757012
7,dos-attacks-hulk,1.0,1.0,1.0,0.9340276022445781,1.0,0.9658885955511409,-0.03411140444885907
8,dos-attacks-slowhttptest,1.0,1.0,1.0,0.899109696911259,0.9998212945423354,0.946794828403168,-0.053205171596832024
9,dos-attacks-slowloris,0.9972739663789186,1.0,0.9986351228389445,0.963339222614841,0.9936218678815489,0.978246243552366,-0.02038887928657851
10,ftp-bruteforce,0.9998189764410769,1.0,0.9999094800274146,0.9996110664557782,0.99715482903109,0.9983814370249517,-0.0015280430024628977
11,infilteration,0.22090100268323684,0.24163499860969506,0.2308032815912176,0.1689757073192656,0.9292489263756295,0.2859533282944244,0.05515004670320678
12,normal,0.9908170920828866,0.9896968699719377,0.9902566642163212,0.9999453874918082,0.9270196197267936,0.9621025699872074,-0.028154094229113746
13,sql-injection,0.36363636363636365,0.2857142857142857,0.32,0.05555555555555555,0.14285714285714285,0.08,-0.24
14,ssh-bruteforce,0.9999733297773037,0.9997600191984641,0.9998666631110162,0.996093230924602,0.9993867157294083,0.9977372554239319,-0.0021294076870843615
