class,support,precision,recall,f1
airplane,1000,0.264450434261755,0.883,0.40700622263194286
automobile,1000,0.5823680823680824,0.905,0.7086922474549726
bird,1000,0.6783980582524272,0.559,0.6129385964912281
cat,1000,0.5903225806451613,0.549,0.5689119170984456
deer,1000,0.8569620253164557,0.677,0.7564245810055866
dog,1000,0.9010654490106544,0.592,0.7145443572721787
frog,1000,0.8944723618090452,0.712,0.7928730512249443
horse,1000,0.8731778425655977,0.599,0.7105575326215896
ship,1000,0.5208333333333334,0.025,0.04770992366412214
truck,1000,0.34234234234234234,0.038,0.06840684068406841
unknown,0,0.0,0.0,0.0
macro_known avg,10000,0.6504392509904855,0.5539000000000001,0.5388065270149079
