class,support,expert,accept_rate,selected_rate,mean_stability,mean_margin
airplane,1000,Vehicle_Primary,0.952,0.887,0.965509,1.6090188
airplane,1000,Animal_Primary,0.852,0.086,0.81638575,0.7096773
airplane,1000,Rare_Fallback,0.949,0.006,0.7489592,0.6655856
automobile,1000,Vehicle_Primary,0.959,0.912,0.9742433,1.6975964
automobile,1000,Animal_Primary,0.696,0.074,0.73575425,0.33567822
automobile,1000,Rare_Fallback,0.958,0.006,0.6915567,0.62583965
bird,1000,Vehicle_Primary,0.854,0.381,0.9234298,0.917334
bird,1000,Animal_Primary,0.947,0.585,0.91395503,1.419846
bird,1000,Rare_Fallback,0.915,0.011,0.69559944,0.50173295
cat,1000,Vehicle_Primary,0.689,0.313,0.8243767,0.39249766
cat,1000,Animal_Primary,0.906,0.615,0.83916634,1.3886731
cat,1000,Rare_Fallback,0.888,0.009,0.66657275,0.5918535
deer,1000,Vehicle_Primary,0.794,0.266,0.9045154,0.5464931
deer,1000,Animal_Primary,0.955,0.716,0.91568655,1.5888672
deer,1000,Rare_Fallback,0.93,0.007,0.7078078,0.6726085
dog,1000,Vehicle_Primary,0.717,0.281,0.8567322,0.39866328
dog,1000,Animal_Primary,0.925,0.672,0.8701024,1.6273241
dog,1000,Rare_Fallback,0.906,0.009,0.68215615,0.6092322
frog,1000,Vehicle_Primary,0.612,0.196,0.8180756,0.26174358
frog,1000,Animal_Primary,0.939,0.766,0.9046507,1.6222676
frog,1000,Rare_Fallback,0.939,0.015,0.74406785,1.0181366
horse,1000,Vehicle_Primary,0.774,0.307,0.8727358,0.53380543
horse,1000,Animal_Primary,0.931,0.651,0.88135046,1.5248445
horse,1000,Rare_Fallback,0.901,0.005,0.6592556,0.41001493
ship,1000,Vehicle_Primary,0.838,0.711,0.91310376,0.6870322
ship,1000,Animal_Primary,0.747,0.237,0.7589012,0.39556718
ship,1000,Rare_Fallback,0.936,0.034,0.72078836,0.4316897
truck,1000,Vehicle_Primary,0.766,0.639,0.87892854,0.61309487
truck,1000,Animal_Primary,0.713,0.281,0.7225089,0.3579411
truck,1000,Rare_Fallback,0.938,0.057,0.6728303,0.52883327
