exp0_closed_set_pred,count,rate
dog,9857,0.3786493546404425
cat,9222,0.3542562999385372
airplane,3642,0.13990473263675476
bird,2211,0.0849339274738783
ship,476,0.01828518746158574
horse,192,0.007375537799631223
deer,167,0.006415181315304241
frog,117,0.004494468346650277
automobile,77,0.002957897971727105
truck,71,0.0027274124154886294
