class,support,exp0_ood_rate,expert_all_reject_rate,known_accept_rate,multi_accept_rate
airplane,1744,0.013188073394495414,0.0005733944954128441,0.9862385321100917,0.9833715596330275
automobile,5099,0.02294567562267111,0.00019611688566385565,0.9768582074916651,0.9737203373210433
bird,4149,0.03518920221740179,0.00024102193299590263,0.9645697758496024,0.9619185345866473
cat,2882,0.026717557251908396,0.0,0.9732824427480916,0.9670367800138793
deer,2523,0.033690051525961155,0.0,0.9663099484740388,0.9643281807372176
dog,2384,0.03901006711409396,0.0008389261744966443,0.9601510067114094,0.9559563758389261
frog,1977,0.028831562974203338,0.0005058168942842691,0.9706626201315124,0.9585230146686899
horse,2019,0.03615651312530956,0.0,0.9638434868746905,0.9608717186726102
ship,1660,0.019879518072289156,0.0,0.9801204819277108,0.9728915662650602
truck,1595,0.016300940438871474,0.0,0.9836990595611286,0.9793103448275862
