metric,value
exp0_threshold,3.8650453090667725
known_exp0_ood_rate,0.0247
known_all_reject_rate,0.0018
known_accept_rate,0.9735
svhn_exp0_ood_rate,0.02804240934234788
svhn_all_reject_rate,0.00023048555623847572
svhn_known_accept_rate,0.9717271051014137
ood_auroc,0.8240176782421635
ood_aupr,0.8723937791285055
ood_fpr95,0.4311
ood_detect_rate,0.028272894898586354
expert_0_name,Vehicle_Primary
expert_0_threshold,1.0811359882354736
expert_1_name,Animal_Primary
expert_1_threshold,4.165278434753418
expert_2_name,Rare_Fallback
expert_2_threshold,0.688578724861145
args,"{'data_root': '/content/drive/MyDrive/torchvision_data', 'seed': 42, 'val_ratio': 0.1, 'lt_imbalance_factor': 0.1, 'lt_min_per_class': 50, 'fallback_tail_classes': 2, 'ood_quantile': 0.05, 'temperature': 1.0, 'epochs': 80, 'patience': 8, 'batch_size': 128, 'test_batch_size': 256, 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'n_views': 4, 'stability_lambda': 0.1, 'fallback_margin_gap': 0.05, 'workers': 0, 'max_train': 0, 'max_val': 0, 'max_test': 0, 'max_ood': 0, 'out_root': 'results'}"
