Class,Baseline_Accuracy,Baseline_F1,Ensemble_Accuracy,Ensemble_F1
airplane,0.971,0.6664378860672615,0.979,0.725453871804372
automobile,0.984,0.7872,0.992,0.816125051419169
bird,0.832,0.7445190156599553,0.894,0.7982142857142858
cat,0.766,0.6364769422517657,0.83,0.70578231292517
deer,0.787,0.7811414392059554,0.852,0.8402366863905325
dog,0.609,0.6908678389109473,0.662,0.7459154929577465
frog,0.651,0.7695035460992907,0.767,0.8517490283176014
horse,0.577,0.7079754601226994,0.635,0.7710989678202793
ship,0.461,0.623394185260311,0.522,0.6801302931596092
truck,0.345,0.5054945054945055,0.479,0.6420911528150134
