method,bucket,rows,accuracy,macro_f1,tail_f1
realistic_oracle,all,1761143,1.0,1.0,1.0
realistic_oracle,seen_same_label,0,,,
realistic_oracle,seen_diff_label,0,,,
realistic_oracle,unseen,1761143,1.0,1.0,1.0
xgboost_c0,all,1761143,0.9811633694708494,0.7976396680286787,0.5323014905737598
xgboost_c0,seen_same_label,0,,,
xgboost_c0,seen_diff_label,0,,,
xgboost_c0,unseen,1761143,0.9811633694708494,0.7976396680286787,0.5323014905737598
tabpfn_v3,all,1761143,0.9875796570749792,0.7858319918898665,0.5269700323688921
tabpfn_v3,seen_same_label,0,,,
tabpfn_v3,seen_diff_label,0,,,
tabpfn_v3,unseen,1761143,0.9875796570749792,0.7858319918898665,0.5269700323688921
