metric,value
exp0_threshold,3.99070405960083
known_exp0_ood_rate,0.03
known_all_reject_rate,0.0011
known_accept_rate,0.9689
svhn_exp0_ood_rate,0.12434695759065766
svhn_all_reject_rate,0.00046097111247695143
svhn_known_accept_rate,0.8751920712968654
ood_auroc,0.8837094479870928
ood_aupr,0.9178049349103439
ood_fpr95,0.3103
ood_detect_rate,0.1248079287031346
expert_0_name,Vehicle_Primary
expert_0_threshold,1.1380422115325928
expert_1_name,Animal_Primary
expert_1_threshold,4.012012481689453
expert_2_name,Rare_Fallback
expert_2_threshold,0.613808274269104
args,"{'data_root': 'data/cic2017_chorno_v2.pkl', 'seed': 42, 'val_ratio': 0.1, 'lt_imbalance_factor': 0.1, 'lt_min_per_class': 50, 'fallback_tail_classes': 2, 'ood_quantile': 0.05, 'temperature': 1.0, 'epochs': 80, 'patience': 8, 'batch_size': 128, 'test_batch_size': 256, 'lr': 0.1, 'momentum': 0.9, 'weight_decay': 0.0005, 'n_views': 4, 'stability_lambda': 0.1, 'fallback_margin_gap': 0.05, 'workers': 0, 'max_train': 0, 'max_val': 0, 'max_test': 0, 'max_ood': 0, 'out_root': 'results'}"
