exp0_closed_set_pred,count,rate
airplane,11029,0.4236708666256915
cat,8308,0.3191456668715427
dog,3357,0.12895666871542716
bird,2468,0.09480639213275968
deer,544,0.02089735709895513
ship,157,0.006031038721573448
horse,115,0.004417639827904118
automobile,46,0.0017670559311616472
truck,6,0.00023048555623847572
frog,2,7.682851874615857e-05
