class,support,exp0_ood_rate,expert_all_reject_rate,known_accept_rate,multi_accept_rate
airplane,1000,0.015,0.001,0.984,0.966
automobile,1000,0.01,0.001,0.989,0.975
bird,1000,0.031,0.0,0.969,0.951
cat,1000,0.041,0.002,0.957,0.929
deer,1000,0.022,0.0,0.978,0.962
dog,1000,0.037,0.0,0.963,0.927
frog,1000,0.048,0.0,0.952,0.923
horse,1000,0.033,0.001,0.966,0.954
ship,1000,0.031,0.001,0.968,0.928
truck,1000,0.032,0.005,0.963,0.912
