class,support,expert,accept_rate,selected_rate,mean_stability,mean_margin
airplane,1744,Vehicle_Primary,0.7545872,0.67087156,0.81213295,0.55728287
airplane,1744,Animal_Primary,0.79529816,0.17660551,0.6748472,0.5466142
airplane,1744,Rare_Fallback,0.8170872,0.0045871558,0.7648118,1.3484142
automobile,5099,Vehicle_Primary,0.8572269,0.7844675,0.87475735,0.77468127
automobile,5099,Animal_Primary,0.82996666,0.10158855,0.72244924,0.5840477
automobile,5099,Rare_Fallback,0.8315356,0.003530104,0.78054947,1.3047206
bird,4149,Vehicle_Primary,0.77946496,0.69486624,0.8269814,0.5813494
bird,4149,Animal_Primary,0.78163415,0.15353097,0.6759975,0.50599366
bird,4149,Rare_Fallback,0.8165823,0.011328031,0.76374215,1.3879735
cat,2882,Vehicle_Primary,0.7893824,0.703331,0.8505958,0.5861471
cat,2882,Animal_Primary,0.832755,0.18043026,0.71428007,0.5955091
cat,2882,Rare_Fallback,0.8278973,0.009368494,0.78168714,1.3448992
deer,2523,Vehicle_Primary,0.78121287,0.7166072,0.80212337,0.63910884
deer,2523,Animal_Primary,0.7122473,0.09314308,0.65832865,0.4646838
deer,2523,Rare_Fallback,0.7693222,0.0067380103,0.71794474,1.2418958
dog,2384,Vehicle_Primary,0.7533557,0.6669463,0.8246778,0.5574494
dog,2384,Animal_Primary,0.8087248,0.19295302,0.685521,0.57889676
dog,2384,Rare_Fallback,0.824245,0.010486578,0.77138966,1.3852738
frog,1977,Vehicle_Primary,0.7496206,0.65655035,0.8162363,0.5313008
frog,1977,Animal_Primary,0.77642894,0.19524533,0.6884329,0.5653381
frog,1977,Rare_Fallback,0.8138594,0.010622155,0.7574735,1.2487186
horse,2019,Vehicle_Primary,0.8642892,0.7870233,0.8958963,0.7466644
horse,2019,Animal_Primary,0.82961863,0.12431897,0.7352596,0.5205231
horse,2019,Rare_Fallback,0.84596336,0.0054482417,0.8105982,1.4719428
ship,1660,Vehicle_Primary,0.79036146,0.66927713,0.8659275,0.5512922
ship,1660,Animal_Primary,0.86506027,0.24036145,0.7365764,0.73515064
ship,1660,Rare_Fallback,0.87108433,0.0042168675,0.80986196,1.3411556
truck,1595,Vehicle_Primary,0.754232,0.66394985,0.8326626,0.53715825
truck,1595,Animal_Primary,0.8514107,0.2169279,0.69582176,0.6584921
truck,1595,Rare_Fallback,0.8376176,0.0043887147,0.78741825,1.3597723
