class,support,seen_in_source,is_friday_unseen_attack,mean_energy,std_energy,median_energy,detect_ood_rate,in_distribution_rate
normal,413933,True,False,8.427512168884277,0.8677369356155396,8.764588356018066,0.0005628930285819202,0.9994371069714181
portscan,158804,False,True,6.888329982757568,2.2467575073242188,8.122556686401367,0.00017002090627440115,0.9998299790937256
ddos,128025,False,True,7.751673698425293,2.101223945617676,6.743563652038574,0.000140597539543058,0.9998594024604569
bot,1956,False,True,8.649643898010254,0.268735408782959,8.744726181030273,0.0,1.0
