method,bucket,rows,accuracy,macro_f1,tail_f1
realistic_oracle,all,161999,0.9883332613164278,0.9896809405882683,0.9955066446249452
realistic_oracle,seen_same_label,83369,0.9976610010915328,0.8932167710151118,0.48314606741573035
realistic_oracle,seen_diff_label,22325,0.9276147816349384,0.5511142018147464,0.85995085995086
realistic_oracle,unseen,56305,0.9985969274487169,0.9984454883942446,0.9993652137113838
xgboost_full,all,161999,0.8455113920456299,0.8308775354316091,0.9167701255163279
xgboost_full,seen_same_label,83369,0.9964015401408197,0.8940883747565364,0.4943820224719101
xgboost_full,seen_diff_label,22325,0.03977603583426652,0.08282776096781029,0.0
xgboost_full,unseen,56305,0.9415682443832697,0.8829397626504635,0.9241695810645298
xgboost_c0,all,161999,0.7707393255513922,0.7141040079764172,0.6134847391948012
xgboost_c0,seen_same_label,83369,0.905636387626096,0.6335048690916754,0.22395833333333334
xgboost_c0,seen_diff_label,22325,0.04,0.1325935824268598,0.1794871794871795
xgboost_c0,unseen,56305,0.860740609182133,0.7328555377348739,0.6853284319687396
ours_c0,all,161999,0.7880357286156088,0.7321399450812656,0.6399531430613072
ours_c0,seen_same_label,83369,0.9170794899782893,0.6800906078943049,0.38222222222222224
ours_c0,seen_diff_label,22325,0.04,0.11396937758162388,0.12883435582822086
ours_c0,unseen,56305,0.8935618506349348,0.754254208936936,0.7214567149573687
tabpfn_plain,all,161999,0.8310236482941252,0.7891766849819895,0.7530540825346281
tabpfn_plain,seen_same_label,83369,0.9880051338027325,0.8723319535732843,0.46745562130177515
tabpfn_plain,seen_diff_label,22325,0.04313549832026876,0.09777579311076315,0.037037037037037035
tabpfn_plain,unseen,56305,0.9109848148477044,0.8484636012052491,0.7506075898975022
