cls,test_rows,train_rows,test_seen_frac,test_seen_diff_frac,f1_realistic_oracle,f1_xgboost_full,f1_xgboost_c0,f1_ours_c0,f1_tabpfn_plain
backdoor,20000,60000,0.8364,0.00035,0.9996250843560199,0.9936118913275832,0.9987745404526698,0.9991743601291001,0.9980525317087786
benign,20000,60000,0.75895,0.0342,0.9844137442437123,0.6205651381292946,0.41958175998159897,0.44792647557346793,0.5921187032955217
ddos,20000,60000,0.95275,0.00615,0.9902420856610801,0.9844239860661856,0.9282931001710701,0.9319558247239045,0.9821837364387379
dos,20000,60000,0.8161,0.04255,0.9838278931750741,0.9412706498799214,0.9101157372613858,0.9241746645897191,0.9263573085846868
injection,20000,60000,0.09815,0.0479,0.9787223199041868,0.9614428816642329,0.7983388298522047,0.8590561380355354,0.9419052231767315
mitm,1204,3607,0.01744186046511628,0.01744186046511628,0.9954185755935027,0.8925053533190578,0.46223446105428795,0.5026601404554161,0.7913446676970634
password,20000,60000,0.46925,0.0007,0.9917105132532512,0.9812118827464096,0.9729360039081583,0.9765799347671481,0.9793677368524719
ransomware,795,2382,0.11949685534591195,0.006289308176100629,0.9955947136563876,0.941034897713598,0.7647350173353145,0.7772461456671983,0.714763497372193
scanning,20000,60000,0.97295,0.9465,0.9997749831237343,0.07099508717849919,0.003892409800888268,0.0,0.08205275503853703
xss,20000,60000,0.37435,0.0366,0.9774794929157345,0.9217135862913096,0.8821382199465935,0.9026257668711657,0.8836206896551724
