expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,dos,target known,dos,96194,100000,0.96194
flood,unseen::ddos,target unseen,dos,98062,100000,0.98062
flood,benign_diagnostic,benign diagnostic,dos,14,51989,0.00026928773394371884
recon,dos,target known,reconnaissance,1563,100000,0.01563
recon,reconnaissance,target known,reconnaissance,82974,100000,0.82974
recon,unseen::ddos,target unseen,reconnaissance,2,100000,2e-05
recon,benign_diagnostic,benign diagnostic,reconnaissance,33931,51989,0.6526572928888803
theft,dos,target known,theft,81,100000,0.00081
theft,reconnaissance,target known,theft,12843,100000,0.12843
theft,theft,target known,theft,287,323,0.8885448916408669
theft,unseen::ddos,target unseen,theft,70,100000,0.0007
theft,benign_diagnostic,benign diagnostic,theft,2140,51989,0.04116255361711131
