true_class,role,owner_expert,support,all_out_rate,owner_only_in_rate,single_non_owner_in_rate,multi_in_rate,mean_experts_in
dos,target known,flood,100000,0.02162,0.96194,0.01644,0.0,0.97838
reconnaissance,target known,recon,100000,0.04254,0.82903,0.12772,0.00071,0.95817
theft,target known,theft,323,0.11145510835913312,0.8885448916408669,0.0,0.0,0.8885448916408669
unseen::ddos,target unseen,,100000,0.01866,,0.98134,0.0,0.98134
benign_diagnostic,benign diagnostic,,51989,0.30606474446517534,,0.693781376829714,0.00015387870511069648,0.6940891342399353
