true_class,benign,dos,reconnaissance,theft,unseen
benign,6394,10,3101,372,522
dos,51,96194,1563,50,2142
reconnaissance,617,0,82974,12561,3848
theft,3,0,0,286,34
unseen,11,98062,2,67,1858
