class,owner_expert,is_tail,singleton_expert,support,xgb_precision,xgb_recall,xgb_f1,expert_precision,expert_recall,expert_f1,f1_delta,owner_expert_in_rate (↑),other_experts_out_rate (↑),in_rate__flood (owner↑/non-owner↓),in_rate__recon (owner↑/non-owner↓),in_rate__theft (owner↑/non-owner↓),in_rate__benign (owner↑/non-owner↓)
dos,flood,False,True,100000,0.9999896235421076,0.96371,0.9815146762267533,1.0,0.96194,0.9806008338685179,-0.0009138423582353283,0.96194,0.9891800000000001,0.96194,0.01563,0.00081,0.01602
reconnaissance,recon,False,True,100000,0.9627140835443282,1.0,0.9810028792434505,0.9815110543312395,0.82974,0.8992668137013174,-0.08173606554213309,0.82974,0.9512833333333334,0.0,0.82974,0.12843,0.01772
benign,benign,False,True,10399,,,,0.7373415260169558,0.9116261178959515,0.8152734778121775,,0.9116261178959515,0.8881623233003172,0.0009616309260505818,0.29820175016828543,0.03634964900471199,0.9116261178959515
theft,theft,True,True,323,1.0,0.24148606811145512,0.38902743142144636,0.021724320641889335,0.8885448916408669,0.042411703856952865,-0.3466157275644935,0.8885448916408669,0.9969040247678018,0.0,0.0,0.8885448916408669,0.009287925696594427
macro_avg,,,,200323,0.9875679023621453,0.7350653560371517,0.7838483289638832,0.6677451249910429,0.8934082972136222,0.6407597838089295,-0.14308854515495398,,,,,,
tail_macro_avg,,,,323,1.0,0.24148606811145512,0.38902743142144636,0.021724320641889335,0.8885448916408669,0.042411703856952865,-0.3466157275644935,,,,,,
weighted_avg,,,,200323,0.9813819217396084,0.9806612321101421,0.9803038662927847,0.98919306514325,0.8958282373966044,0.9384866627263437,-0.041817203566441065,,,,,,
