role,branch,count,share_of_role,accuracy
known,all_out,6024,0.030071434633067596,0.0
known,argmin,2974,0.01484602367177009,0.39677202420981844
known,owner_only,191325,0.9550825416951623,0.9317862276231543
known,ALL,200323,1.0,0.8958232454585844
unseen,all_out,1858,0.01858,1.0
unseen,argmin,5,5e-05,0.0
unseen,owner_only,98137,0.98137,0.0
unseen,ALL,100000,1.0,0.01858
benign,all_out,522,0.05019713433984037,0.0
benign,argmin,3092,0.2973362823348399,0.0009702457956015524
benign,owner_only,6785,0.6524665833253197,0.941930729550479
benign,ALL,10399,1.0,0.614866814116742
