expert,active_owned_classes,ood_role,pre_auroc,pre_aupr_id,pre_fpr95,pre_id_retain,pre_ood_detect,post_auroc,post_aupr_id,post_fpr95,post_id_retain,post_ood_detect,auroc_delta,fpr95_delta,ood_detect_delta
flood,dos,non_owned_known_attack,0.8714838305273966,0.8292332719613551,0.3466204160561387,0.97254,0.5998923477168745,0.9833897830507461,0.9911891911967532,0.0,0.96194,1.0,0.11190595252334945,-0.3466204160561387,0.4001076522831255
flood,dos,unseen,0.8152751723,0.7324395940168759,0.40102,0.97254,0.51241,0.5035499464,0.47618083848622816,0.8875,0.96194,0.01938,-0.31172522590000007,0.48647999999999997,-0.49303
flood,dos,target_non_owned_validation,0.9048854506885521,0.9091809284675262,0.33070365439262367,0.97254,0.6207896985473839,0.9840512264769589,0.9945419961057638,0.0,0.96194,1.0,0.07916577578840678,-0.33070365439262367,0.37921030145261614
flood,dos,benign_diagnostic,0.7825143991036566,0.746684588272087,0.23451114658870145,0.97254,0.7315778337725288,0.9830169316586201,0.9935164026884635,0.0,0.96194,0.9997307122660563,0.20050253255496353,-0.23451114658870145,0.2681528784935274
flood,dos,pooled_attack_out,0.8434248167209957,0.6343913581439565,0.3737763511928236,0.97254,0.5562217019513486,0.7438567106373207,0.47332307433760734,0.4430344992836569,0.96194,0.5104805738731948,-0.09956810608367495,0.0692581480908333,-0.04574112807815378
flood,dos,unseen::ddos,0.8152751723,0.7324395940168759,0.40102,0.97254,0.51241,0.5035499464,0.47618083848622816,0.8875,0.96194,0.01938,-0.31172522590000007,0.48647999999999997,-0.49303
recon,reconnaissance,non_owned_known_attack,0.7017495498041326,0.7476881806908152,0.9955643272230695,0.96261,0.004435672776930515,0.9959778861278072,0.9953626739304019,0.02300569161608006,0.82974,0.9844203223587812,0.2942283363236746,-0.9725586356069895,0.9799846495818507
recon,reconnaissance,unseen,0.7279889766000001,0.8175160856739448,0.99901,0.96261,0.00099,0.9988565645,0.9988128131657478,0.00785,0.82974,0.99998,0.2708675879,-0.9911599999999999,0.9989899999999999
recon,reconnaissance,target_non_owned_validation,0.6371840258927329,0.7594487328219798,0.9928859567195915,0.96261,0.0071140432804085605,0.9916281092144745,0.9955319933609681,0.045207956600361664,0.82974,0.9548119150289133,0.3544440833217416,-0.9476780001192298,0.9476978717485047
recon,reconnaissance,benign_diagnostic,0.5021184889111158,0.6178547785709765,0.9229644732539576,0.96261,0.07703552674604243,0.7092172459558753,0.8006244283227555,0.84204350920387,0.82974,0.34734270711111964,0.20709875704475955,-0.08092096405008753,0.2703071803650772
recon,reconnaissance,pooled_attack_out,0.7148481090289183,0.6677602301108079,0.9972843857170669,0.96261,0.002715614282933063,0.9974149045291854,0.994234583229245,0.0154400642961617,0.82974,0.9921876169985473,0.2825667955002671,-0.9818443214209052,0.9894720027156142
recon,reconnaissance,unseen::ddos,0.7279889766000001,0.8175160856739448,0.99901,0.96261,0.00099,0.9988565645,0.9988128131657478,0.00785,0.82974,0.99998,0.2708675879,-0.9911599999999999,0.9989899999999999
theft,theft,non_owned_known_attack,0.11027249226006192,0.0034010362649233156,0.99308,0.9287925696594427,0.007,0.9839501702786377,0.7621869744075273,0.065325,0.8885448916408669,0.93538,0.8736776780185758,-0.927755,0.92838
theft,theft,unseen,0.1669135294117647,0.03924036594565576,0.9993,0.9287925696594427,0.00076,0.9907291950464395,0.963069430344625,0.00076,0.8885448916408669,0.9993,0.8238156656346748,-0.99854,0.99854
theft,theft,target_non_owned_validation,0.1159542414860681,0.011457546581880146,0.99267,0.9287925696594427,0.00744,0.9891408978328173,0.2873219781525967,0.01304,0.8885448916408669,0.98731,0.8731866563467492,-0.97963,0.97987
theft,theft,benign_diagnostic,0.20842814034190488,0.007737462290737081,0.8620477408682606,0.9287925696594427,0.13824078170382195,0.9886181567224835,0.8343520944178857,0.04270134066821828,0.8885448916408669,0.9588374463828887,0.7801900163805786,-0.8193464002000423,0.8205966646790668
theft,theft,pooled_attack_out,0.1291528379772962,0.002810545013743988,0.9951533333333333,0.9287925696594427,0.00492,0.9862098452012382,0.7619451587760899,0.04380333333333333,0.8885448916408669,0.9566866666666667,0.8570570072239421,-0.95135,0.9517666666666666
theft,theft,unseen::ddos,0.1669135294117647,0.03924036594565576,0.9993,0.9287925696594427,0.00076,0.9907291950464395,0.963069430344625,0.00076,0.8885448916408669,0.9993,0.8238156656346748,-0.99854,0.99854
