method,rows,balanced_accuracy,macro_auprc,ece_15bin,benign_fpr
racepfn_system,4023114,0.7272,0.7106,0.0191,0.001804
global_tabpfn,4023114,0.7255,0.7088,0.019,0.001775
xgboost,4023114,0.7749,0.7426,0.0055,0.002662
