method,bucket,cls,support,precision,recall,f1
tabpfn_v3,seen_same_label,ddos,79154,1.0,1.0,1.0
tabpfn_v3,seen_same_label,dos,6322,0.9996837444655281,1.0,0.9998418472244188
tabpfn_v3,seen_same_label,infiltration,9651,0.9977051688340072,0.9460159568956584,0.9711732794383576
tabpfn_v3,seen_same_label,web_attacks,226,0.6075268817204301,1.0,0.7558528428093646
tabpfn_v3,seen_diff_label,benign,8255,0.25014182672825996,0.7477892186553604,0.3748823368657577
tabpfn_v3,seen_diff_label,bot,0,0.0,0.0,0.0
tabpfn_v3,seen_diff_label,brute_force,0,0.0,0.0,0.0
tabpfn_v3,seen_diff_label,ddos,0,0.0,0.0,0.0
tabpfn_v3,seen_diff_label,dos,21111,0.0,0.0,0.0
tabpfn_v3,seen_diff_label,infiltration,18636,0.41935483870967744,0.0006975745868212063,0.0013928322708523062
tabpfn_v3,seen_diff_label,web_attacks,154,0.045454545454545456,0.6493506493506493,0.08496176720475786
tabpfn_v3,unseen,benign,1751239,0.9915703533613981,0.9986683713645025,0.9951067051226539
tabpfn_v3,unseen,bot,1859,0.9869095048377917,0.9327595481441635,0.959070796460177
tabpfn_v3,unseen,brute_force,37585,1.0,0.9994678728216043,0.9997338656021291
tabpfn_v3,unseen,ddos,185717,0.9999499552377404,0.9683012325204478,0.9838711442296119
tabpfn_v3,unseen,dos,33161,0.9999692780337942,0.9815445855070716,0.9906712726940695
tabpfn_v3,unseen,infiltration,9344,0.32237056333441877,0.10595034246575342,0.1594844945630286
tabpfn_v3,unseen,web_attacks,128,0.24789915966386555,0.921875,0.39072847682119205
