round,expert,coverage,regime_tune_rows,marginal,action
0,2,0.4296,0,,dropped(min-support)
0,3,0.5167,8,,dropped(min-support)
0,4,0.1455,0,,dropped(min-support)
0,8,0.0653,30,,dropped(min-support)
0,1,0.2719,576,5.7363,kept(prune off)
0,5,0.0337,87,2.0863,kept(prune off)
0,6,0.1205,82235,0.0014,kept(prune off)
0,7,0.1229,1706,7.2334,kept(prune off)
