expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,817,12761,817,0,0,0,0,0,817,0
2,252,12761,252,0,0,0,0,0,0,252
3,1930009,12761,186000,173732,3405,864,2873,2815,2311,0
4,15009,12761,15009,0,0,0,0,1,15008,0
