K,beta,tune_expert_balanced_nll
2,0.0,2.174885
2,0.5,3.746358
2,1.0,6.653683
4,0.0,1.341615
4,0.5,2.855716
4,1.0,6.106584
8,0.0,1.32827
8,0.5,3.115941
8,1.0,6.774786
