a,b,agreement
global,e1,0.8549
global,e2,0.8489
global,e3,0.9874
global,e4,0.7978
e1,e2,0.983
e1,e3,0.8425
e1,e4,0.9409
e2,e3,0.8405
e2,e4,0.9275
e3,e4,0.7853
