expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.7225,542,55540,0.7536,0.3834
2,202121,normgain,0.9706,0,5947,0.7638,0.3547
3,202121,normgain,0.9513,3270,6577,0.6741,0.749
4,202121,normgain,0.7933,226,41548,0.7131,0.6561
