class,owner_expert,is_tail,support,xgb_recall,oracle_local_recall,gated_recall,recall_lost_to_gate,wrong_accepted,wrong_rejected,dominant_recall_loss,fp_from_known_count,top_fp_true_class,top_fp_count,fp_from_unseen_count,fp_from_benign_count
ddos,flood,False,100000,0.99541,0.99659,0.99462,0.00197,0.00076,0.00265,local_classifier,2251,injection,1326,7923,16871
scanning,probe_access,False,100000,0.99919,1.0,0.42536,0.57464,0.0,0.0,gate,29,xss,23,15479,40522
xss,application,False,100000,0.99125,0.99508,0.97304,0.02204,0.00381,0.00111,gate,8333,dos,4640,833,13785
injection,application,False,76356,0.9379092671171879,0.9593221226884593,0.9105505788674105,0.04877154382104877,0.03381528629053381,0.006862591021006862,gate,601,xss,381,71779,283
dos,flood,False,40692,0.8229873193748157,0.9999017005799665,0.9053868082178315,0.09451489236213506,0.0,9.82994200334218e-05,gate,4797,xss,3201,3,10046
backdoor,stealth_malware,True,40678,0.9991641673631939,0.9990658341118049,0.9967550027041644,0.0023108314076404936,0.0,0.0009341658881950931,gate,0,,0,0,0
mitm,stealth_malware,True,1204,0.872093023255814,0.9875415282392026,0.0,0.9875415282392026,0.0,0.012458471760797342,gate,0,,0,0,0
ransomware,stealth_malware,True,795,0.9610062893081761,0.9962264150943396,0.0,0.9962264150943396,0.0,0.0037735849056603774,gate,0,,0,0,0
