class,owner_expert,is_tail,singleton_expert,support,xgb_precision,xgb_recall,xgb_f1,expert_precision,expert_recall,expert_f1,f1_delta,owner_expert_in_rate (↑),other_experts_out_rate (↑),in_rate__flood (owner↑/non-owner↓),in_rate__probe_access (owner↑/non-owner↓),in_rate__application (owner↑/non-owner↓),in_rate__stealth_malware (owner↑/non-owner↓),in_rate__benign (owner↑/non-owner↓)
benign,benign,False,True,100000,,,,0.4248737553174355,0.8969,0.5766028711209972,,0.8969,0.6751024999999999,0.69009,0.00673,0.60275,2e-05,0.8969
ddos,flood,False,False,100000,0.9879509701751774,0.99541,0.9916664591168339,0.9778691022779782,0.99462,0.9861734246181456,-0.005493034498688321,0.99538,0.980645,0.99538,1e-05,0.0115,0.0,0.06591
scanning,probe_access,False,True,100000,0.9996298371283364,0.99919,0.9994098701714377,0.9993186890637848,0.42536,0.5967243011959458,-0.4026855689754919,0.42536,0.7496625,0.00364,0.42536,0.00118,0.0,0.99653
xss,application,False,False,100000,0.9107489043449499,0.99125,0.9492958690666016,0.9211166542025995,0.97304,0.946366655806105,-0.002929213260496555,0.97685,0.9731000000000001,0.0373,0.00023,0.97685,0.0,0.07007
injection,application,False,False,76356,0.9957037984539235,0.9379092671171879,0.9659428108983005,0.9914298344432244,0.9105505788674105,0.9492705638196923,-0.01667224707860815,0.9443658651579444,0.9804206611137304,0.036932264655036934,3.928964325003929e-05,0.9443658651579444,0.0,0.041345801246791346
dos,flood,False,False,40692,0.9400948825197204,0.8229873193748157,0.8776518377776322,0.8847955042147986,0.9053868082178315,0.8949727320207455,0.017320894243113227,0.9053868082178315,0.9476924211147154,0.9053868082178315,0.0,0.11405190209377765,0.0,0.09517841344736067
backdoor,stealth_malware,True,False,40678,0.9998523985239852,0.9991641673631939,0.9995081644698013,1.0,0.9967550027041644,0.9983748645720477,-0.0011332998977535702,0.9967550027041644,0.9956487536260387,0.00029499975416687153,0.0,0.0005408328826392645,0.9967550027041644,0.016569152859039284
mitm,stealth_malware,True,False,1204,0.8771929824561403,0.872093023255814,0.8746355685131195,0.0,0.0,0.0,-0.8746355685131195,0.0,0.9262873754152823,0.016611295681063124,0.0,0.004152823920265781,0.0,0.27408637873754155
ransomware,stealth_malware,True,False,795,0.9782330345710627,0.9610062893081761,0.9695431472081218,0.0,0.0,0.0,-0.9695431472081218,0.0,0.941509433962264,0.03270440251572327,0.0025157232704402514,0.0440251572327044,0.0,0.15471698113207547
macro_avg,,,,459725,0.9611758510216619,0.9473762583023985,0.953456715902731,0.7218162230252982,0.6507140487236758,0.6714853177540852,-0.2819713981486458,,,,,,,
tail_macro_avg,,,,42677,0.9517594718503961,0.9440878266423947,0.9478956267303476,0.3333333333333333,0.3322516675680548,0.3327916215240159,-0.6151040052063316,,,,,,,
weighted_avg,,,,459725,0.9714962267433933,0.9704649518734025,0.9701190903868795,0.9619101846771259,0.8401022350318125,0.8753908629843624,-0.09472822740251713,,,,,,,
