true_class,role,owner_expert,support,all_out_rate,owner_only_in_rate,single_non_owner_in_rate,multi_in_rate,mean_experts_in
backdoor,target known,stealth_malware,40678,0.0026549977875018438,0.9967550027041644,0.00034416637986135014,0.0002458331284723929,0.9975908353409706
ddos,target known,flood,100000,0.00071,0.98778,0.00391,0.0076,1.00689
dos,target known,flood,40692,0.01744814705593237,0.86849995085029,0.07716504472623611,0.036886857367541534,1.0194387103116092
injection,target known,application,76356,0.02422861333752423,0.9387998323641888,0.03140552150453141,0.005566032793755566,0.9813374194562313
mitm,target known,stealth_malware,1204,0.9800664451827242,0.0,0.01910299003322259,0.0008305647840531562,0.020764119601328904
ransomware,target known,stealth_malware,795,0.9257861635220126,0.0,0.06918238993710692,0.005031446540880503,0.07924528301886792
scanning,target known,probe_access,100000,0.57035,0.42496,0.00416,0.00053,0.43018
xss,target known,application,100000,0.00362,0.95886,0.01953,0.01799,1.01438
unseen::password,target unseen,,100000,0.23113,,0.57757,0.1913,0.96017
benign_diagnostic,benign diagnostic,,100000,0.30501,,0.57493,0.12006,0.81507
