role,branch,count,share_of_role,accuracy
known,all_out,3481,0.007571917994453206,0.0
known,argmin,66299,0.14421447604546195,0.8237228314152552
known,owner_only,389945,0.8482136059600849,0.82646527074331
known,ALL,459725,1.0,0.8198118440371962
unseen,all_out,20754,0.20754,1.0
unseen,argmin,33691,0.33691,0.0
unseen,owner_only,45555,0.45555,0.0
unseen,ALL,100000,1.0,0.20754
benign,all_out,3843,0.03843,0.0
benign,argmin,70665,0.70665,0.960588693129555
benign,owner_only,25492,0.25492,0.7486662482347403
benign,ALL,100000,1.0,0.86965
